,revenue,imdb_score,budget,twitter_score,actors_score
241,457507776.0,64,40000000.0,6.504549214226634,7595687718
242,487519809.0,67,90000000.0,7.114754098360656,0
243,258829058.0,75,185000000.0,7.994389901823282,4433993888
244,811724385.0,73,180000000.0,7.5393617021276595,3685235615
245,28649556.0,63,10000000.0,6.282051282051282,0
246,101332962.0,67,12000000.0,6.595238095238095,0
247,484468608.0,67,81000000.0,6.924242424242424,9009163765
248,648303155.4,72,141800000.0,7.538461538461538,0
249,3380105.2,54,3000000.0,4.416666666666667,0
250,366942531.0,65,132000000.0,6.700680272108843,3003820990
251,485035085.0,82,65000000.0,8.881453154875716,12549911771
252,492846291.0,65,130000000.0,6.625,0
253,232354205.0,62,55000000.0,6.926829268292683,0
254,137489730.0,57,67500000.0,6.059259259259259,0
255,343242613.0,67,125000000.0,6.872340425531915,0
256,750306106.4,73,95800000.0,6.5,0
257,34560577.0,60,20000000.0,6.644444444444445,1812406554
258,21206861.0,61,4000000.0,4.811320754716981,0
259,127234389.0,62,40000000.0,6.573529411764706,0
260,212891760.0,85,8000000.0,8.793023255813953,11058459509
261,236799211.0,63,50000000.0,6.708333333333333,0
262,13200000.0,71,25874800.0,6.333333333333333,0
263,105002056.0,68,49000000.0,7.051282051282051,3160763815
264,33473297.0,76,500000.0,7.142857142857143,0
265,15473333.0,65,20000000.0,8.5,0
266,59922558.0,58,2500000.0,5.277777777777778,0
267,316802281.0,82,70000000.0,8.459619952494062,2690938078
268,299461782.0,82,80000000.0,8.573187414500683,6134625601
269,2000000.0,74,1500000.0,10.0,0
270,282778100.0,63,263700000.0,6.453846153846154,0
271,102306500.0,63,31000000.0,6.1558441558441555,4429513459
272,39123993.0,84,3300000.0,8.619535887749596,0
273,667999518.0,66,225000000.0,7.664439495174462,3654141712
274,573068425.0,69,135000000.0,7.584873949579832,5781232279
275,137984788.0,73,25000000.0,7.583333333333333,0
276,6379037.6,54,500000.0,5.5,0
277,747862775.0,75,200000000.0,8.32482993197279,8277524490
278,385510132.0,83,19000000.0,8.923295454545455,0
279,624234272.0,63,150000000.0,6.974137931034483,3735127227
280,383299914.0,67,170000000.0,6.153846153846154,0
281,113244290.0,66,47500000.0,7.015384615384615,2163136709
282,402156682.0,61,105000000.0,5.813953488372093,0
283,302469017.0,58,175000000.0,5.728395061728395,2092090172
284,470986200.0,73,93000000.0,7.727520435967302,0
285,300473716.0,71,31000000.0,7.353658536585366,2163136709
286,356148063.0,65,127500000.0,7.153846153846154,0
287,319713881.0,47,150000000.0,5.326086956521739,0
288,73989734.0,78,3000000.0,8.857142857142858,0
289,66263722.8,57,3000000.0,4.7,0
290,310566162.0,67,61000000.0,6.607058823529412,0
291,85000000.0,72,4000000.0,7.838709677419355,0
292,184638105.0,81,10700000.0,8.425619834710744,0
293,234723148.0,66,12000000.0,7.295081967213115,0
294,95538560.0,71,60000000.0,7.6,2750759819
295,155200000.0,60,45000000.0,5.8,2430421640
296,527706567.0,69,65000000.0,6.73404255319149,2868692285
297,417341288.0,66,225000000.0,6.9743589743589745,0
298,245724600.0,68,135000000.0,7.536585365853658,3685235615
299,256857527.0,57,6500000.0,5.602298850574712,0
300,599680774.0,65,150000000.0,7.105263157894737,2797049842
301,556016627.0,64,50000000.0,6.938992042440319,2750759819
302,178710620.0,55,40000000.0,6.0588235294117645,0
303,360240189.0,72,205000000.0,7.934993084370678,1932088095
304,1129576094.0,69,175000000.0,7.183585313174946,5850170559
305,226941585.0,74,25000000.0,8.04888888888889,2613249768
306,34270285.0,74,8000000.0,7.260869565217392,2559093698
307,229545589.0,55,120000000.0,5.625,2879606139
308,137054597.0,60,13000000.0,5.179310344827586,0
309,265878536.0,71,61000000.0,6.806584362139918,0
310,190376181.0,67,77000000.0,6.890140845070422,2730825186
311,23855847.0,69,23000000.0,5.423076923076923,2613249768
312,746921271.0,66,145000000.0,7.102564102564102,2797049842
313,91378886.0,65,50000000.0,7.311764705882353,2163136709
314,377807404.0,63,45000000.0,6.415151515151515,2613249768
315,238521247.0,61,97000000.0,6.603669724770643,0
316,144529078.0,65,18000000.0,7.490909090909091,0
317,94156456.0,74,30000000.0,7.893459915611814,0
318,175863783.0,61,60000000.0,5.804281345565749,4191515313
319,677923379.0,72,80000000.0,7.421296296296297,2645260774
320,252297405.0,76,5000000.0,7.612725844461901,0
321,371741123.0,60,75000000.0,6.130434782608695,9583445021
322,745744980.0,59,175000000.0,6.556603773584905,3735127227
323,82182803.0,58,35000000.0,5.860262008733624,0
324,23507567.0,62,5000000.0,6.25,0
325,416986411.4,69,118600000.0,6.105263157894737,0
326,577780846.8,56,118698000.0,2.0,0
327,29789000.0,61,17000000.0,7.403225806451613,0
328,264118201.0,81,60000000.0,8.535962877030162,3154505239
329,653609107.0,77,108000000.0,8.107934238741958,3390763036
330,679835137.0,85,55000000.0,9.032822757111598,5196590628
331,269994119.0,68,37000000.0,7.423880597014925,0
332,84264182.0,74,30000000.0,7.532719836400818,3043780912
333,113310547.0,81,46000000.0,8.205187586845762,3160763815
334,365491792.0,60,200000000.0,6.884955752212389,4465697474
335,86410000.0,60,40000000.0,6.318345323741007,2613249768
336,142531552.0,63,120000000.0,6.220657276995305,0
337,489592267.0,72,152000000.0,7.643063583815029,0
338,367451914.0,79,20000000.0,8.305263157894737,4433993888
339,78019031.0,76,6400000.0,8.342995169082126,0
340,385000315.0,62,85000000.0,6.869565217391305,5774532655
341,159487563.0,56,88000000.0,5.558282208588957,0
342,245300000.0,70,35000000.0,7.5625,0
343,78769428.0,70,20000000.0,7.392307692307693,0
344,156936204.6,71,1000000.0,7.2,0
345,282300000.0,63,55000000.0,6.785714285714286,0
346,10243159.0,75,100000.0,7.857142857142857,0
347,4934725.0,68,52600004.0,7.235602094240837,1931386660
348,44083403.0,78,12500000.0,8.023166023166024,0
349,306941670.0,74,145000000.0,7.608333333333333,4936543538
350,438899824.0,64,160000000.0,6.85077519379845,0
351,9755282.0,71,25000000.0,7.46,0
352,370569776.0,70,140000000.0,6.940695296523518,6832840083
353,265573859.0,62,137500000.0,6.598513011152416,0
354,694713380.0,71,145000000.0,7.491891891891892,8225027970
355,312898746.0,79,40000000.0,8.202619414483822,4216429266
356,345445403.0,67,123000000.0,6.333333333333333,3154505239
357,487625.0,61,3947600.0,5.7555555555555555,0
358,21037000.0,71,7623000.0,7.0,0
